# x, y, corr
3.4000 1.2000 0.0274
3.5000 1.2000 -0.0113
3.6000 1.2000 -0.0485
3.7000 1.2000 -0.0379
3.8000 1.2000 -0.0467
3.9000 1.2000 -0.0300
4.0000 1.2000 -0.0307
4.1000 1.2000 0.0059
4.2000 1.2000 0.0343
4.3000 1.2000 0.0865
4.4000 1.2000 0.0952
4.5000 1.2000 0.1085
4.6000 1.2000 0.0903
4.7000 1.2000 0.0339
4.8000 1.2000 -0.0109
4.9000 1.2000 -0.0153
0.0000 1.3000 0.0071
0.1000 1.3000 0.0474
0.2000 1.3000 0.0479
0.3000 1.3000 0.0527
0.4000 1.3000 0.0176
0.5000 1.3000 -0.0045
0.6000 1.3000 0.0424
0.7000 1.3000 0.0719
0.8000 1.3000 0.0873
0.9000 1.3000 0.0909
1.0000 1.3000 0.1000
1.1000 1.3000 0.0763
1.2000 1.3000 0.0424
1.3000 1.3000 0.0358
1.4000 1.3000 0.0399
1.5000 1.3000 0.0229
1.6000 1.3000 0.0251
1.7000 1.3000 0.0216
1.8000 1.3000 0.0578
1.9000 1.3000 0.0660
2.0000 1.3000 0.0863
2.1000 1.3000 0.0914
2.2000 1.3000 0.1157
2.3000 1.3000 0.1489
2.4000 1.3000 0.1440
2.5000 1.3000 0.1493
2.6000 1.3000 0.2296
2.7000 1.3000 0.2569
2.8000 1.3000 0.2989
2.9000 1.3000 0.2959
3.0000 1.3000 0.3004
3.1000 1.3000 0.2851
3.2000 1.3000 0.2626
3.3000 1.3000 0.1676
3.4000 1.3000 0.0903
3.5000 1.3000 0.0159
3.6000 1.3000 0.0125
3.7000 1.3000 0.0515
3.8000 1.3000 0.0063
3.9000 1.3000 0.0307
4.0000 1.3000 0.0118
4.1000 1.3000 0.0223
4.2000 1.3000 0.0136
4.3000 1.3000 0.0514
4.4000 1.3000 0.0600
4.5000 1.3000 0.0816
4.6000 1.3000 0.0937
4.7000 1.3000 0.0784
4.8000 1.3000 0.0366
4.9000 1.3000 0.0133
0.0000 1.4000 0.0599
0.1000 1.4000 0.0727
0.2000 1.4000 0.0350
0.3000 1.4000 0.0185
0.4000 1.4000 0.0234
0.5000 1.4000 0.0093
0.6000 1.4000 0.0203
0.7000 1.4000 0.0442
0.8000 1.4000 0.0410
0.9000 1.4000 0.0606
1.0000 1.4000 0.0404
1.1000 1.4000 0.0207
1.2000 1.4000 0.0379
1.3000 1.4000 0.0741
1.4000 1.4000 0.0581
1.5000 1.4000 0.0227
1.6000 1.4000 0.0120
1.7000 1.4000 -0.0109
1.8000 1.4000 -0.0088
1.9000 1.4000 0.0234
2.0000 1.4000 0.0621
2.1000 1.4000 0.1177
2.2000 1.4000 0.1159
2.3000 1.4000 0.1193
2.4000 1.4000 0.1151
2.5000 1.4000 0.1522
2.6000 1.4000 0.2347
2.7000 1.4000 0.2565
2.8000 1.4000 0.3426
2.9000 1.4000 0.4090
3.0000 1.4000 0.3929
3.1000 1.4000 0.3449
3.2000 1.4000 0.3255
3.3000 1.4000 0.2391
3.4000 1.4000 0.1570
3.5000 1.4000 0.0825
